"longitudeDecimal","latitudedecimal","count"
-56.95,-17.1,5
-56.85,-16.8,1
-56.85,-16.7,2
-56.8,-17.4,10
-56.8,-16.7,1
-56.75,-21,1
-56.75,-17.4,3
-56.75,-17.3,1
-56.75,-16.7,23
-56.75,-16.6,1
-56.75,-16.5,6
-56.7,-17.3,36
-56.7,-16.5,63
-56.7,-16.4,3
-56.65,-17.3,1
-56.65,-17.2,4
-56.65,-16.4,16
-56.65,-16.3,24
-56.6,-16.4,123
-56.55,-21.3,10
-56.55,-16.3,1
-56.5,-19,100
-55.95,-9.6,2
-55.9,-9.6,1
-55.85,-15.4,14
-55.85,-15.3,1
-55.8,-15.4,10
-54.8,-20.6,50
-54.5,-25.6,2
-54.45,-25.7,507
-48.45,-23.5,1
-48.4,-23.5,2
-48.3,-25.5,2
-48.3,-18.9,1
-47.3,-23.3,1
-47.1,-24.3,8
-46.75,-23,30
-46.7,-23.6,3
-46.65,-23.6,157
-46.65,-23.5,2
-46.6,-23.7,50
-46.6,-23.6,7
-46.5,-23.5,51
-46.5,-23.4,121
-46.45,-23.4,12
-46.35,-23.9,2
-44.85,-23.4,1
-44.7,-23.2,2
-43.3,-22.6,2
-43.25,-23,32
-43.25,-22.9,354
-43.2,-23,128
-43.2,-22.9,43
-43.15,-23,29
-43.15,-22.9,80
-42.8,-22.5,6
-42.8,-22.4,2
-42.75,-22.5,39
-42.75,-22.4,13
-42.7,-22.4,2
-42.05,-23,50
-42,-22.6,16
-39.55,-15.4,1
-39.55,-7.3,3
-39.2,-16.4,2
-39.15,-16.4,17
-39.1,-16.4,43
-38.95,-5.5,56
-38.95,-4.3,9
-38.95,-4.2,17
-38.9,-4.3,4
-38.45,-12.7,30
-38.4,-4.8,84
-37.45,-4.7,3
-35.2,-5.9,5
-35.1,-6.2,37
