"longitudeDecimal","latitudedecimal","count"
-57,-19.5,1
-56.95,-17.1,7
-56.9,-17.1,3
-56.9,-16.8,8
-56.9,-16.7,1
-56.85,-16.8,6
-56.85,-16.7,20
-56.8,-17.4,2
-56.75,-19.4,1
-56.75,-17.3,5
-56.75,-16.6,17
-56.75,-16.5,8
-56.7,-19.2,1
-56.7,-17.3,39
-56.7,-17.2,1
-56.7,-16.9,6
-56.7,-16.6,4
-56.7,-16.5,12
-56.7,-16.4,20
-56.65,-17.3,2
-56.65,-17.2,6
-56.65,-16.5,1
-56.65,-16.4,14
-56.65,-16.3,8
-56.6,-16.4,9
-56.6,-16.1,2
-56.5,-19,16
-56.35,-20.4,1
-56.2,-18.6,1
-54.8,-20.6,1
-54.6,-20.3,1
-50.95,-31.3,2
-47,-23,1
-46.35,-23.9,2
-44.7,-23.2,1
-43.2,-23,6
-42.8,-22.5,1
-42.8,-22.4,1
-42.75,-22.5,8
-42.75,-22.4,12
-40.1,-7.1,6
-39.1,-16.4,1
-39.05,-16.5,2
-36.5,-5.8,5
-35.1,-6.2,2
