"eventDate","count"
2006-09-01,1
2008-09-01,1
2009-05-01,3
2009-07-01,1
2009-09-01,1
2009-10-01,3
2010-08-01,5
2011-08-01,1
2011-09-01,1
2011-10-01,3
2011-11-01,2
2012-07-01,16
2012-08-01,8
2012-11-01,5
2012-12-01,8
2013-07-01,1
2013-10-01,13
2013-11-01,2
2015-07-01,2
2015-08-01,1
2015-11-01,7
2015-12-01,8
2016-08-01,3
2017-01-01,2
2017-02-01,1
2017-03-01,2
2017-08-01,17
2017-12-01,30
2018-01-01,1
2018-03-01,1
2018-04-01,3
2018-08-01,1
2018-09-01,12
2018-11-01,13
2018-12-01,6
2019-07-01,12
2019-08-01,22
2019-09-01,19
2019-10-01,4
