"longitudeDecimal","latitudedecimal","count"
14.2,52.8,1
14.65,53.6,1
14.65,53.7,2
14.7,52.5,1
14.7,52.6,4
14.75,52.5,2
14.75,52.6,2
14.8,52.6,22
14.85,52.6,12
14.85,52.7,1
14.9,52.6,4
14.9,52.7,2
15.05,52.3,3
15.15,52.3,5
15.45,53.3,1
15.7,51.1,1
16.15,53.9,1
16.2,53.9,8
16.55,52.5,1
16.95,52.3,1
17.3,51.5,2
17.35,51.5,15
17.9,50.7,15
18.05,50.7,1
18.75,50.4,2
18.75,50.5,1
18.85,50.4,1
18.9,50.4,2
18.95,50,1
18.95,50.9,3
19.8,50,4
19.85,50,4
19.85,50.1,42
19.85,50.2,6
21.1,52.3,1
21.15,52.3,1
21.25,53.6,1
21.55,53.7,8
22.2,49.3,2
22.25,49.3,270
22.25,49.4,4
22.3,49.4,21
22.4,53.1,2
22.4,53.2,66
22.4,53.3,2
22.45,53.2,23
22.45,53.3,20
22.45,53.4,3
22.5,53.1,1
22.5,53.2,14
22.5,53.3,1
22.5,53.4,12
22.5,53.5,2
22.55,53.1,1
22.55,53.2,18
22.55,53.3,2
22.55,53.4,66
22.6,53.2,9
22.6,53.3,64
22.6,53.4,63
22.6,53.5,7
22.65,49.2,1
22.65,52.4,1
22.65,53.5,56
22.65,53.6,1
22.7,53.2,3
22.7,53.3,1
22.7,53.4,3
22.7,53.5,50
22.7,53.6,4
22.75,53.1,10
22.75,53.5,15
22.75,53.6,8
22.75,53.7,64
22.8,53.1,2
22.8,53.5,7
22.8,53.6,6
22.8,53.7,102
22.85,53.1,1
22.85,53.5,19
22.85,53.6,9
22.85,53.7,1
22.9,53.1,1
22.9,53.5,10
22.9,53.6,33
22.95,53,20
22.95,53.6,17
23,53.6,2
23.05,53.6,4
23.15,51.5,1
23.15,52.8,1
23.2,52.7,1
23.2,53.9,20
23.35,52.8,1
23.5,52.7,1
23.5,52.8,1
23.55,52.7,20
23.6,52.7,4
23.6,52.8,4
23.7,52.7,17
23.7,52.9,7
23.75,52.7,100
23.75,52.8,4
23.75,52.9,2
23.8,52.7,51
23.8,52.8,27
23.8,52.9,8
23.8,53,6
23.85,52.7,290
23.85,52.8,21
23.85,52.9,37
23.85,53,1
23.9,52.7,76
23.9,52.8,9
23.9,52.9,24
