"eventDate","count"
1995-05-01,130
1998-07-01,3
2002-06-01,4
2003-05-01,21
2005-05-01,23
2006-05-01,106
2007-05-01,18
2008-05-01,153
2008-06-01,18
2008-07-01,256
2009-05-01,30
2009-07-01,168
2009-10-01,350
2010-04-01,25
2010-05-01,19
2010-06-01,4
2010-07-01,117
2010-08-01,1
2011-04-01,1
2011-05-01,58
2011-06-01,7
2011-07-01,225
2011-08-01,600
2012-01-01,9
2012-03-01,8
2012-04-01,13
2012-05-01,351
2012-06-01,1
2012-07-01,31
2012-08-01,8
2013-03-01,5
2013-04-01,16
2013-05-01,207
2013-07-01,2
2013-08-01,140
2013-09-01,17
2014-01-01,74
2014-02-01,32
2014-03-01,32
2014-04-01,19
2014-05-01,91
2014-06-01,4
2014-07-01,243
2014-08-01,6
2015-02-01,6
2015-03-01,14
2015-04-01,344
2015-05-01,367
2015-06-01,209
2015-07-01,3
2015-08-01,362
2015-10-01,162
2016-02-01,2
2016-03-01,94
2016-04-01,103
2016-05-01,549
2016-06-01,353
2016-07-01,398
2016-08-01,263
2017-03-01,2
2017-04-01,17
2017-05-01,95
2017-06-01,65
2017-07-01,344
2017-08-01,1
2017-09-01,38
2017-11-01,1
2017-12-01,29
2018-02-01,3
2018-04-01,31
2018-05-01,397
2018-06-01,65
2018-07-01,227
2018-08-01,60
2019-01-01,112
2019-04-01,112
2019-05-01,284
2019-06-01,36
2019-07-01,94
2019-08-01,8
2020-01-01,105
