"eventDate","count"
1991-07-01,8
1993-07-01,12
1994-06-01,2
1995-05-01,3
2003-05-01,1
2005-05-01,10
2006-05-01,16
2007-05-01,13
2007-06-01,3
2008-05-01,16
2008-06-01,1
2008-07-01,1
2008-10-01,7
2009-05-01,9
2009-07-01,4
2010-04-01,3
2010-05-01,40
2010-07-01,2
2011-05-01,90
2011-06-01,5
2011-07-01,11
2011-08-01,2
2012-03-01,4
2012-05-01,5
2012-07-01,5
2013-03-01,1
2013-05-01,39
2013-07-01,3
2013-08-01,14
2014-01-01,5
2014-04-01,1
2014-05-01,28
2014-06-01,24
2014-07-01,164
2015-01-01,2
2015-02-01,61
2015-04-01,2
2015-05-01,89
2015-06-01,32
2015-07-01,1
2015-08-01,32
2015-10-01,1
2016-01-01,1
2016-02-01,50
2016-03-01,13
2016-05-01,49
2016-06-01,39
2016-07-01,110
2016-08-01,3
2016-10-01,17
2017-01-01,60
2017-04-01,12
2017-05-01,44
2017-06-01,22
2017-07-01,53
2017-11-01,1
2017-12-01,1
2018-04-01,48
2018-05-01,189
2018-06-01,38
2018-07-01,38
2018-08-01,17
2019-04-01,10
2019-05-01,59
2019-06-01,8
2019-07-01,53
2020-01-01,2
2020-02-01,334
