"eventDate","count"
1996-12-01,3
2006-08-01,1
2006-09-01,1
2008-07-01,22
2009-05-01,2
2009-10-01,2
2010-06-01,6
2010-07-01,4
2010-12-01,1
2011-08-01,1
2011-09-01,2
2011-10-01,2
2012-07-01,12
2012-08-01,102
2013-03-01,2
2013-07-01,1
2013-10-01,29
2014-10-01,3
2014-11-01,1
2015-07-01,3
2015-08-01,28
2015-11-01,11
2015-12-01,1
2016-05-01,1
2016-07-01,3
2016-08-01,3
2016-09-01,10
2017-01-01,5
2017-02-01,3
2017-03-01,2
2017-08-01,17
2017-12-01,6
2018-01-01,8
2018-02-01,2
2018-04-01,4
2018-07-01,1
2018-08-01,10
2018-09-01,23
2018-10-01,5
2018-11-01,32
2018-12-01,16
2019-02-01,2
2019-04-01,2
2019-07-01,17
2019-08-01,57
2019-09-01,57
2019-10-01,149
2019-11-01,5
