"longitudeDecimal","latitudedecimal","count"
-56.9,-16.8,13
-56.85,-16.8,1
-56.85,-16.7,1
-56.75,-16.7,12
-56.75,-16.5,2
-56.7,-16.6,5
-56.65,-16.3,2
-56.6,-16.4,4
-56.6,-16.1,2
-56.5,-21.1,4
-56.45,-21.1,1
-56.35,-20.4,3
-55.95,-20.1,1
-55.9,-15.3,2
-55.85,-15.4,16
-55.85,-15.3,15
-55.8,-15.4,21
-55.75,-15.5,2
-55.7,-15.5,1
-55.7,-15.4,1
-54.8,-20.6,1
-48.45,-23.5,3
-48.4,-24.3,8
-48.25,-25.5,1
-47.8,-24,1
-46.65,-23.6,1
-44.7,-23.2,2
-44.6,-22.4,14
-44.55,-22.5,1
-44.35,-23.2,2
-44.15,-23.1,1
-43.25,-23,1
-43.2,-23,1
-43.2,-22.9,1
-43.15,-23,3
-43.15,-22.9,2
-42.8,-22.5,6
-42.8,-22.4,1
-42.75,-22.5,15
-42.75,-22.4,10
-40.1,-7.1,34
-39.55,-15.4,9
-38.55,-13,11
-38.5,-13,2
-35.1,-6.2,2
