"eventDate","count"
1993-07-01,24
1994-06-01,5
1995-05-01,7
1998-07-01,3
2000-06-01,1
2001-05-01,43
2002-05-01,118
2003-05-01,18
2003-06-01,1
2005-05-01,128
2006-05-01,79
2007-05-01,18
2008-05-01,1
2008-07-01,1
2008-08-01,2
2009-05-01,184
2009-06-01,3
2009-07-01,1
2010-04-01,39
2010-05-01,108
2010-07-01,175
2011-05-01,218
2011-06-01,52
2011-07-01,43
2012-04-01,10
2012-05-01,330
2012-07-01,7
2012-08-01,24
2013-04-01,2
2013-05-01,77
2013-07-01,12
2013-08-01,47
2014-03-01,4
2014-04-01,6
2014-05-01,20
2014-06-01,7
2014-07-01,313
2015-03-01,1
2015-04-01,35
2015-05-01,205
2015-06-01,22
2015-07-01,12
2015-08-01,120
2015-10-01,1
2016-04-01,3
2016-05-01,86
2016-06-01,9
2016-07-01,570
2016-08-01,3
2017-04-01,22
2017-05-01,28
2017-06-01,8
2017-07-01,356
2017-08-01,5
2018-04-01,20
2018-05-01,368
2018-06-01,25
2018-07-01,59
2018-08-01,19
2019-03-01,1
2019-04-01,50
2019-05-01,52
2019-06-01,5
2019-07-01,136
2019-08-01,13
