"eventDate","count"
1991-07-01,13
1993-07-01,2
1994-06-01,1
1995-05-01,6
1998-07-01,9
2003-06-01,1
2004-06-01,1
2004-07-01,2
2005-05-01,18
2005-07-01,8
2006-05-01,29
2006-06-01,1
2007-05-01,35
2008-05-01,27
2008-06-01,36
2008-07-01,45
2009-05-01,34
2009-07-01,2
2010-05-01,15
2010-07-01,77
2011-06-01,6
2011-07-01,51
2011-08-01,10
2012-05-01,38
2012-07-01,4
2012-08-01,2
2013-05-01,61
2013-07-01,27
2013-08-01,31
2014-05-01,22
2014-06-01,20
2014-07-01,208
2014-08-01,21
2015-05-01,130
2015-06-01,68
2015-07-01,13
2015-08-01,40
2016-05-01,75
2016-06-01,47
2016-07-01,308
2016-08-01,13
2017-05-01,16
2017-06-01,18
2017-07-01,62
2017-08-01,4
2017-09-01,1
2018-04-01,2
2018-05-01,107
2018-06-01,69
2018-07-01,58
2018-08-01,30
2019-05-01,21
2019-06-01,8
2019-07-01,186
2019-08-01,6
