"longitudeDecimal","latitudedecimal","count"
14.25,53.9,9
14.55,53.6,3
14.55,53.7,1
14.6,52.4,2
14.65,52.5,3
14.65,52.6,4
14.65,54,1
14.7,52.5,2
14.7,52.6,1
14.75,52.5,4
14.75,52.6,2
14.8,52.5,1
14.8,52.6,28
14.85,52.6,31
14.9,52.6,10
14.95,52.6,13
15,52.6,2
15.3,51,1
15.45,53.1,1
15.5,52.4,2
15.55,51,5
15.6,51,11
16.1,53.9,1
16.2,50.6,2
16.2,53.9,14
16.35,52.4,1
16.4,52.4,1
16.45,52.4,2
16.5,52.3,2
16.55,52.4,5
16.6,52.4,4
17.9,52.2,5
17.95,52.2,1
18,52.2,6
18.05,52.2,3
18.1,52.2,3
18.85,50.4,1
18.9,50.4,1
19.6,53.8,1
21.05,52.2,1
21.75,51.5,1
22.25,49.3,9
22.3,49.2,5
22.3,49.3,7
22.3,49.4,6
22.35,49.2,1
22.35,49.3,11
22.35,53.2,1
22.4,49.2,2
22.4,49.3,6
22.4,53.2,19
22.45,49.2,3
22.45,49.3,3
22.45,53.2,9
22.45,53.3,5
22.5,49.3,20
22.5,53.2,2
22.55,49.3,1
22.55,53.2,3
22.55,53.3,15
22.55,53.4,27
22.6,53.2,1
22.6,53.3,24
22.6,53.4,104
22.65,52.4,1
22.65,53.5,8
22.7,53.4,1
22.7,53.5,4
22.7,53.6,1
22.75,53.5,10
22.75,53.7,8
22.8,53.1,1
22.8,53.5,3
22.8,53.6,8
22.8,53.7,16
22.85,53,10
22.85,53.5,6
22.85,53.6,12
22.9,53,16
22.9,53.5,2
22.9,53.6,37
22.95,53,10
22.95,53.5,1
22.95,53.6,1
23,53.6,2
23.45,52.7,1
23.45,52.8,3
23.6,52.8,2
23.65,51.4,1
23.7,52.7,1
23.7,52.8,1
23.75,52.7,12
23.75,52.8,6
23.8,52.7,20
23.8,52.8,9
23.8,52.9,15
23.8,53,2
23.85,52.7,57
23.85,52.8,15
23.85,52.9,1
23.9,52.7,14
23.9,52.8,5
23.9,52.9,1
23.9,53,1
