"longitudeDecimal","latitudedecimal","count"
14.4,53.1,2
14.55,53.7,15
14.55,53.8,1
14.6,53.7,6
14.65,52.6,7
14.65,53.7,2
14.7,52.5,8
14.7,52.6,41
14.75,52.5,6
14.75,52.6,26
14.8,52.5,1
14.8,52.6,54
14.8,53.7,1
14.85,52.5,1
14.85,52.6,22
14.85,52.7,6
14.9,52.6,8
14.9,52.7,2
15.45,53.1,1
15.7,51.1,1
15.85,52.4,1
16.15,54.3,2
16.55,52.5,1
16.85,52.5,1
16.9,50.2,1
17,52.4,1
17.05,50.7,3
17.05,52.3,2
17.1,50.7,12
17.25,51.5,5
17.3,51.5,1
17.35,51.5,3
18,50.7,2
18.05,50.7,1
18.95,50.9,5
19,50.8,2
19,50.9,2
19.05,50.9,7
19.4,52.9,1
20,50,2
20.05,50,1
20.3,49.5,10
20.35,49.4,10
20.4,49.5,2
21.25,49.8,1
21.25,53.6,19
21.3,53.6,21
21.65,53.7,10
21.7,53.7,3
21.8,53.6,1
21.8,54,2
22.25,53,2
22.25,53.1,1
22.3,52.9,8
22.3,53.1,1
22.35,53.1,10
22.4,53.1,4
22.4,53.2,24
22.45,52.6,1
22.45,53.2,55
22.45,53.3,6
22.45,53.4,3
22.5,52.5,5
22.5,52.6,1
22.5,53.1,1
22.5,53.2,1
22.5,53.4,2
22.55,53.2,6
22.55,53.3,15
22.55,53.4,93
22.6,53.2,8
22.6,53.3,72
22.6,53.4,23
22.6,53.5,8
22.65,52.4,3
22.65,53.2,2
22.65,53.3,2
22.65,53.5,70
22.65,53.6,11
22.7,52.4,3
22.7,53.3,4
22.7,53.4,1
22.7,53.5,54
22.7,53.6,2
22.7,53.7,1
22.75,53.1,6
22.75,53.5,16
22.75,53.6,17
22.75,53.7,17
22.8,53.1,5
22.8,53.5,3
22.8,53.6,8
22.8,53.7,3
22.85,53.1,7
22.85,53.5,30
22.85,53.6,2
22.85,53.7,3
22.9,53.1,2
22.9,53.5,14
22.9,53.6,15
22.9,53.7,1
22.95,53.5,2
22.95,53.6,6
22.95,53.7,2
23,50.6,16
23,53.5,6
23,53.6,5
23.1,53.6,2
23.15,51.4,1
23.2,51.5,2
23.2,53.6,2
23.2,53.9,13
23.3,51.4,1
23.35,52.8,1
23.5,52.7,3
23.55,52.7,2
23.6,52.7,2
23.6,52.8,2
23.65,52.6,4
23.7,52.6,1
23.7,52.7,32
23.75,52.7,117
23.75,52.8,11
23.75,53,1
23.8,52.7,87
23.8,52.8,24
23.8,52.9,29
23.8,53,30
23.85,52.7,433
23.85,52.8,81
23.85,52.9,53
23.85,53,1
23.9,52.7,95
23.9,52.8,35
23.9,52.9,45
