"longitudeDecimal","latitudedecimal","count"
14.15,52.9,1
14.2,52.8,17
14.25,54,32
14.45,53.2,6
14.55,52.7,8
14.55,53.7,24
14.6,52.4,1
14.6,52.5,2
14.6,53.7,304
14.6,53.8,1
14.65,52.3,3
14.65,52.4,6
14.65,52.5,72
14.65,52.6,18
14.65,52.7,2
14.65,53.7,8
14.65,53.8,300
14.7,52.4,9
14.7,52.5,6
14.7,52.6,57
14.7,52.7,3
14.75,52.5,23
14.75,52.6,750
14.8,52.5,3
14.8,52.6,401
14.85,52.6,358
14.85,52.7,6
14.9,52.5,1
14.9,52.6,167
14.95,52.6,32
14.95,52.9,68
15,52.6,64
15,52.9,13
15.05,53,1
15.1,52.3,22
15.1,52.9,1
15.15,52.3,1
15.3,52.3,9
15.4,52.5,5
15.45,52.4,9
15.45,53.3,1
15.8,52.6,2
16.05,52.9,5
16.1,52.9,135
16.15,53.8,3
16.2,52.9,1
16.2,53.9,30
16.4,52.9,2
17,51.5,130
17,52.4,6
17.35,54.6,5
17.55,53.9,2
17.65,53.9,2
18.45,54.7,1
18.5,54.6,13
18.65,54.4,2
18.75,50.5,10
18.95,50.8,4
18.95,50.9,3
19,50.8,7
19,50.9,6
19.6,54.2,1
19.7,52.2,1
21.25,53.6,9
21.3,53.6,3
21.75,53.5,3
22.3,54,2
22.4,52.6,1
22.4,53.1,15
22.4,53.2,139
22.45,49.3,78
22.45,53.2,353
22.45,53.3,1491
22.45,53.4,289
22.5,53.1,7
22.5,53.2,24
22.5,53.3,135
22.5,53.4,174
22.5,53.5,36
22.55,53.2,39
22.55,53.3,39
22.55,53.4,552
22.55,53.5,2
22.6,53.2,139
22.6,53.3,343
22.6,53.4,443
22.6,53.5,131
22.65,53.2,47
22.65,53.3,6
22.65,53.4,1
22.65,53.5,47
22.65,53.6,18
22.7,53.3,21
22.7,53.4,1
22.7,53.5,26
22.7,53.6,1
22.75,53.1,1
22.75,53.2,4
22.75,53.5,140
22.8,53.1,78
22.8,53.2,3
22.8,53.5,63
22.8,53.6,3
22.85,53,2
22.85,53.1,3
22.85,53.5,12
22.85,53.6,4
22.9,53.1,19
22.9,53.5,32
22.9,53.6,153
22.95,53.5,24
22.95,53.6,89
23,53.6,21
23.05,53.6,1
23.1,54,2
23.2,53.9,325
23.25,51.4,1
23.25,53.9,8
23.3,51.4,60
23.35,54.1,1
23.4,52.8,1
23.45,53.1,3
23.5,52.7,1
23.55,52.7,2
23.7,52.8,3
23.75,52.7,12
23.8,52.6,3
23.8,52.7,12
23.8,52.8,7
23.85,52.7,53
23.85,52.8,10
23.85,52.9,20
23.9,52.7,5
23.9,52.8,3
23.9,52.9,16
