"eventDate","count"
2005-10-01,30
2006-09-01,2
2008-07-01,25
2009-05-01,2
2009-09-01,60
2009-10-01,2
2010-03-01,80
2010-05-01,7
2010-06-01,2
2010-07-01,10
2010-08-01,1
2011-08-01,5
2011-09-01,51
2011-10-01,114
2011-11-01,26
2011-12-01,1
2012-07-01,158
2012-08-01,23
2012-09-01,48
2013-01-01,22
2013-03-01,30
2013-07-01,2
2013-10-01,372
2013-11-01,7
2014-05-01,19
2014-10-01,306
2014-11-01,82
2015-08-01,7
2015-11-01,5
2015-12-01,3
2016-05-01,1
2016-07-01,1
2016-08-01,5
2016-09-01,27
2016-10-01,12
2016-12-01,50
2017-01-01,13
2017-03-01,1
2017-08-01,4
2017-09-01,51
2017-11-01,1
2017-12-01,10
2018-01-01,31
2018-02-01,6
2018-04-01,5
2018-08-01,10
2018-09-01,17
2018-10-01,50
2018-11-01,25
2018-12-01,216
2019-01-01,5
2019-02-01,7
2019-05-01,45
2019-06-01,1
2019-07-01,177
2019-08-01,126
2019-09-01,123
2019-10-01,47
2019-12-01,5
2020-03-01,8
