"longitudeDecimal","latitudedecimal","count"
14.2,53,1
14.3,53,1
14.6,52.4,2
14.65,52.6,1
14.7,52.5,7
14.7,52.6,6
14.75,52.5,15
14.75,52.6,290
14.8,52.5,1
14.8,52.6,264
14.85,52.6,234
14.85,52.7,2
14.9,52.6,24
14.9,53.2,1
15,53.5,1
15.65,51.1,1
16.2,53.9,2
16.5,54.5,2
17.05,51.1,1
17.35,51.5,34
17.5,51.6,2
17.85,50.8,3
17.85,54.7,1
18.75,50.5,1
18.8,50.4,1
18.8,50.5,2
18.8,53.7,1
19.05,50.9,1
19.6,49.5,1
19.7,54.4,1
20.2,49.9,1
20.4,49.4,24
20.4,50.1,1
20.45,50.1,2
20.6,52.8,1
21.1,52.3,1
21.1,52.7,5
21.15,52,2
21.15,52.3,1
21.25,53.6,1
21.6,53.6,1
21.65,54,1
21.7,51.5,2
21.7,54,40
21.75,51.5,1
21.8,54,1
21.85,49.7,1
21.85,52.7,6
21.85,54,1
21.85,54.1,16
21.9,49.6,1
21.9,54,1
21.95,49.5,1
21.95,49.6,7
21.95,53.8,1
21.95,54,2
22,49.6,3
22.05,49.6,1
22.2,53.9,2
22.25,53.9,3
22.3,53.9,1
22.35,53.1,4
22.35,53.2,13
22.4,53.1,1
22.4,53.2,64
22.4,53.3,3
22.4,53.4,1
22.45,53.2,214
22.45,53.3,122
22.45,53.4,24
22.5,52.5,3
22.5,53.2,58
22.5,53.4,71
22.5,53.5,27
22.5,53.6,3
22.55,52.4,22
22.55,53.2,43
22.55,53.3,2
22.55,53.4,322
22.55,53.5,5
22.55,53.7,1
22.6,52.4,4
22.6,53.2,10
22.6,53.3,10
22.6,53.4,16
22.6,53.5,73
22.6,53.6,81
22.65,52.4,1
22.65,53.2,1
22.65,53.3,2
22.65,53.5,95
22.65,53.6,8
22.7,53.2,5
22.7,53.3,5
22.7,53.4,2
22.7,53.5,64
22.7,53.6,2
22.7,53.7,1
22.75,53.1,4
22.75,53.5,192
22.75,53.6,2
22.75,53.7,18
22.8,52.7,10
22.8,52.8,3
22.8,53.1,13
22.8,53.2,1
22.8,53.5,72
22.8,53.6,41
22.8,53.7,6
22.8,54.2,1
22.85,53.5,48
22.85,54.2,1
22.9,52.7,8
22.9,53.5,55
22.9,53.6,323
22.9,54.2,1
22.95,52.7,1
22.95,53,8
22.95,53.6,47
22.95,53.7,2
23,52.7,61
23,52.8,2
23,53.6,10
23.05,53.7,15
23.1,51.4,2
23.1,53.6,10
23.15,51.5,2
23.15,53.1,1
23.2,53.9,180
23.25,51.5,1
23.25,53.1,5
23.35,52.8,1
23.55,52.7,2
23.6,51.4,3
23.65,51.4,15
23.65,51.5,1
23.7,51.4,1
23.7,52.7,3
23.75,52.7,6
23.75,52.8,7
23.75,52.9,3
23.75,53,4
23.8,52.7,307
23.8,52.8,14
23.8,52.9,26
23.8,53,4
23.85,52.7,330
23.85,52.9,25
23.85,53,10
23.9,52.7,16
23.9,52.8,5
23.9,52.9,17
