"longitudeDecimal","latitudedecimal","count"
-57,-19.5,1
-56.9,-16.8,8
-56.85,-16.8,8
-56.85,-16.7,9
-56.75,-16.7,31
-56.75,-16.6,34
-56.75,-16.5,4
-56.7,-16.6,2
-56.7,-16.5,1
-56.7,-16.4,50
-56.65,-16.4,35
-56.65,-16.3,3
-56.6,-16.4,92
-56.55,-21.3,2
-56.5,-19,10
-55.9,-15.3,2
-55.85,-15.4,3
-55.85,-15.3,23
-55.8,-15.4,15
-55.75,-15.5,3
-55.75,-15.4,5
-54.8,-20.6,11
-54.5,-25.6,2
-54.45,-25.7,1
-51.25,-30.1,1
-51.25,-30,1
-51.2,-30.1,1
-49.25,-25.4,2
-48.45,-23.5,8
-48.4,-23.5,4
-48.3,-25.5,1
-48.3,-18.9,2
-48,-25.2,2
-47,-24.3,8
-47,-23.1,68
-47,-23,9
-46.95,-24.2,4
-46.7,-23.6,1
-46.65,-23.6,10
-46.65,-23.5,2
-46.6,-23.7,26
-46.6,-23.6,2
-46.55,-23.7,4
-46.35,-23.9,2
-45.5,-23.8,1
-44.7,-23.2,3
-43.65,-19.1,11
-43.25,-23,15
-43.2,-23,7
-43.2,-22.9,4
-42.85,-22.5,2
-42.8,-22.5,6
-42.75,-22.5,66
-42.75,-22.4,17
-42.6,-22.3,2
-39.75,-19.2,4
-39,-4.8,2
-37.85,-4.7,4
-36.5,-5.8,4
-35.2,-5.9,3
-35.15,-6.2,30
